City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Belaya Gora,RU,68.5333,146.4167,-30.82,97,92,2.46,overcast clouds
316,Cayenne,GF,4.9333,-52.3333,82.44,74,75,6.91,light rain
317,Vostok,RU,46.4856,135.8833,-11.97,94,90,4.34,overcast clouds
318,Luneburg,DE,53.25,10.4,35.24,83,100,5.14,overcast clouds
319,Plettenberg Bay,ZA,-34.0527,23.3716,75.6,83,94,10.83,light rain
320,Pavullo Nel Frignano,IT,44.3315,10.835,37.47,86,82,5.75,broken clouds
321,Auki,SB,-8.7676,160.7034,76.32,91,100,6.44,overcast clouds
322,Novosineglazovskiy,RU,55.0401,61.3792,11.91,82,6,2.53,clear sky
323,Mindelheim,DE,48.05,10.4833,32.63,77,100,8.05,overcast clouds
324,Lima,PE,-12.0432,-77.0282,73.65,69,0,5.75,clear sky
325,Torbay,CA,47.6666,-52.7314,42.58,92,100,18.41,overcast clouds
326,Ancud,CL,-41.8697,-73.8203,66.67,51,100,4.18,overcast clouds
327,San Jose,US,37.3394,-121.895,46.98,85,0,4.61,clear sky
328,Te Anau,NZ,-45.4167,167.7167,51.87,93,17,1.66,few clouds
329,Ostrovnoy,RU,68.0531,39.5131,24.33,84,100,13.42,overcast clouds
330,Ketou,BJ,7.3633,2.5998,98.28,17,4,1.61,clear sky
331,Honningsvag,NO,70.9821,25.9704,26.35,80,0,16.11,clear sky
332,Am Timan,TD,11.0297,20.2827,88.43,15,96,5.19,overcast clouds
333,Mombetsu,JP,44.3525,143.3525,14.92,78,41,9.64,scattered clouds
334,Banda Aceh,ID,5.5577,95.3222,75.81,83,100,9.42,overcast clouds
335,Mata,PT,40.683,-7.4592,45.93,76,63,12.95,broken clouds
336,Moroni,KM,-11.7022,43.2551,79.88,80,86,6.17,overcast clouds
337,Borogontsy,RU,62.6683,131.1683,-53.59,98,100,3.36,overcast clouds
338,Alta Floresta,BR,-9.8756,-56.0861,83.12,68,100,1.92,overcast clouds
339,Fougamou,GA,-1.2154,10.5838,82.13,85,100,1.74,moderate rain
340,Waddan,LY,29.1614,16.139,67.77,15,19,9.8,few clouds
341,Fort-Shevchenko,KZ,44.5086,50.263,33.49,41,0,12.88,clear sky
342,Terney,RU,45.0503,136.6092,7.81,68,100,4.81,overcast clouds
343,Seoul,KR,37.5683,126.9778,22.6,75,0,2.3,clear sky
344,Shingu,JP,33.7333,135.9833,39.16,81,2,6.71,clear sky
345,Clyde River,CA,70.4692,-68.5914,-23.57,76,0,13.8,clear sky
346,Acapulco,MX,16.8634,-99.8901,76.82,73,0,0.0,clear sky
